	Source	Length	Incompatibility Group	Predicted Plasmid/ICE	Phylum
adult_c_000006501409	De Novo Assembled	17714	N/A	ICE	Bacteroidetes
adult_c_000013661551	De Novo Assembled	58641	N/A	ICE	Firmicutes
adult_c_000010840712	De Novo Assembled	43228	N/A	ICE	Bacteroidetes
adult_c_000009904612	De Novo Assembled	16464	N/A	N/A	Firmicutes
infant_c_000000245980	De Novo Assembled	11895	N/A	Plasmid	Firmicutes
adult_c_000012771341	De Novo Assembled	20975	N/A	ICE	Firmicutes
adult_c_000009903079	De Novo Assembled	61764	N/A	ICE	Firmicutes
adult_c_000013454101	De Novo Assembled	67740	N/A	ICE	Firmicutes
infant_c_000000135483	De Novo Assembled	21481	N/A	Plasmid	Firmicutes
infant_c_000000460740	De Novo Assembled	37340	N/A	Plasmid	Proteobacteria
infant_c_000000128584	De Novo Assembled	141568	N/A	N/A	Proteobacteria
infant_c_000000262443	De Novo Assembled	43918	IncFIIA,IncFII	Plasmid	Proteobacteria
adult_c_000013665368	De Novo Assembled	9534	N/A	N/A	Firmicutes
infant_c_000000099905	De Novo Assembled	57596	N/A	Plasmid	Proteobacteria
adult_c_000013661289	De Novo Assembled	96892	N/A	ICE	Firmicutes
adult_c_000002808141	De Novo Assembled	89845	N/A	ICE	Firmicutes
infant_c_000000374119	De Novo Assembled	33840	IncFII,IncFII	Plasmid	Proteobacteria
adult_c_000000358633	De Novo Assembled	22343	N/A	N/A	Firmicutes
infant_c_000000358770	De Novo Assembled	11488	N/A	Plasmid	Proteobacteria
adult_c_000008895425	De Novo Assembled	22015	N/A	N/A	Firmicutes
adult_c_000001698149	De Novo Assembled	58646	N/A	ICE	Bacteroidetes
infant_c_000000414145	De Novo Assembled	119890	N/A	ICE	Proteobacteria
adult_c_000002205632	De Novo Assembled	30359	N/A	ICE	Firmicutes
adult_c_000013094287	De Novo Assembled	47286	N/A	ICE	Firmicutes
adult_c_000004493597	De Novo Assembled	36700	N/A	ICE	Firmicutes
adult_c_000001082312	De Novo Assembled	57670	N/A	ICE	Firmicutes
infant_c_000000174710	De Novo Assembled	90710	N/A	ICE	Bacteroidetes
adult_c_000013661550	De Novo Assembled	58646	N/A	ICE	Bacteroidetes
infant_c_000000401206	De Novo Assembled	77861	N/A	ICE	Firmicutes
adult_c_000008896141	De Novo Assembled	15750	N/A	ICE	Firmicutes
adult_c_000007629373	De Novo Assembled	60302	N/A	ICE	Firmicutes
infant_c_000000466798	De Novo Assembled	18028	N/A	Plasmid	Firmicutes
adult_c_000008175023	De Novo Assembled	59185	N/A	ICE	Bacteroidetes
adult_c_000008418252	De Novo Assembled	39423	N/A	ICE	Bacteroidetes
adult_c_000013662355	De Novo Assembled	28866	N/A	ICE	Bacteroidetes
infant_c_000000039988	De Novo Assembled	11795	N/A	Plasmid	Firmicutes
adult_c_000013662066	De Novo Assembled	35902	N/A	ICE	Firmicutes
adult_c_000008894078	De Novo Assembled	56767	N/A	ICE	Bacteroidetes
adult_c_000009902917	De Novo Assembled	81236	N/A	ICE	Firmicutes
adult_c_000013661363	De Novo Assembled	81128	N/A	ICE	Firmicutes
adult_c_000008175866	De Novo Assembled	16221	N/A	ICE	Bacteroidetes
infant_c_000000466760	De Novo Assembled	28386	N/A	Plasmid	Firmicutes
adult_c_000001697990	De Novo Assembled	191018	N/A	ICE	Bacteroidetes
adult_c_000010993709	De Novo Assembled	17418	N/A	N/A	Actinobacteria
adult_c_000012458882	De Novo Assembled	143297	N/A	ICE	Bacteroidetes
adult_c_000008894963	De Novo Assembled	27851	N/A	ICE	Firmicutes
adult_c_000010435350	De Novo Assembled	14598	N/A	N/A	Firmicutes
adult_c_000008895517	De Novo Assembled	20996	N/A	ICE	Firmicutes
adult_c_000007050965	De Novo Assembled	20627	N/A	N/A	NA
adult_c_000002955364	De Novo Assembled	104777	N/A	ICE	Firmicutes
adult_c_000009238927	De Novo Assembled	30401	N/A	N/A	Firmicutes
infant_c_000000262451	De Novo Assembled	42131	N/A	ICE	Firmicutes
infant_c_000000020966	De Novo Assembled	26734	IncFIIA,IncFII	Plasmid	NA
adult_c_000013662340	De Novo Assembled	29139	N/A	ICE	Firmicutes
adult_c_000002808176	De Novo Assembled	60245	N/A	ICE	Actinobacteria
infant_c_000000393866	De Novo Assembled	16646	N/A	Plasmid	NA
adult_c_000012459381	De Novo Assembled	14601	N/A	N/A	Firmicutes
adult_c_000009902758	De Novo Assembled	120984	N/A	ICE	Firmicutes
adult_c_000013661145	De Novo Assembled	162159	N/A	ICE	Bacteroidetes
infant_c_000000045669	De Novo Assembled	17351	N/A	ICE	Bacteroidetes
adult_c_000006501252	De Novo Assembled	29980	N/A	ICE	Bacteroidetes
infant_c_000000045576	De Novo Assembled	92163	IncFIB,IncFIIA,IncFII	Plasmid	Proteobacteria
adult_c_000001084269	De Novo Assembled	6845	N/A	Plasmid	Firmicutes
adult_c_000009903018	De Novo Assembled	66737	N/A	ICE	Firmicutes
adult_c_000005117362	De Novo Assembled	73110	N/A	ICE	Bacteroidetes
infant_c_000000263281	De Novo Assembled	8838	N/A	N/A	Proteobacteria
adult_c_000008418315	De Novo Assembled	34171	N/A	ICE	Firmicutes
infant_c_000000374084	De Novo Assembled	45874	N/A	Plasmid	Proteobacteria
adult_c_000008894303	De Novo Assembled	46714	N/A	ICE	Firmicutes
adult_c_000008893599	De Novo Assembled	124528	N/A	ICE	Firmicutes
infant_c_000000245609	De Novo Assembled	116687	IncFIB,IncFII,IncFIIA	Plasmid	Proteobacteria
adult_c_000001082544	De Novo Assembled	34436	N/A	ICE	Actinobacteria
infant_c_000000099900	De Novo Assembled	71603	IncFII	Plasmid	Proteobacteria
adult_c_000009796704	De Novo Assembled	13577	N/A	ICE	Firmicutes
adult_c_000008894505	De Novo Assembled	39123	N/A	ICE	Firmicutes
infant_c_000000381698	De Novo Assembled	27397	N/A	Plasmid	Proteobacteria
adult_c_000009904452	De Novo Assembled	18368	N/A	Plasmid	Firmicutes
adult_c_000001082609	De Novo Assembled	30877	N/A	ICE	Actinobacteria
infant_c_000000125876	De Novo Assembled	83321	IncFII,IncFII	Plasmid	Proteobacteria
adult_c_000007629525	De Novo Assembled	31651	N/A	ICE	Firmicutes
adult_c_000009796510	De Novo Assembled	44783	N/A	ICE	Firmicutes
adult_c_000013662810	De Novo Assembled	22028	N/A	N/A	Firmicutes
infant_c_000000045650	De Novo Assembled	23965	N/A	Plasmid	Firmicutes
adult_c_000013661442	De Novo Assembled	69550	N/A	ICE	Bacteroidetes
infant_c_000000262436	De Novo Assembled	47883	N/A	ICE	Firmicutes
adult_c_000000000253	De Novo Assembled	37154	N/A	ICE	Bacteroidetes
infant_c_000000413394	De Novo Assembled	92749	IncFIB,IncFIIA,IncFII	Plasmid	Proteobacteria
infant_c_000000074962	De Novo Assembled	18189	N/A	Plasmid	Firmicutes
adult_c_000008896282	De Novo Assembled	14813	N/A	Plasmid	NA
adult_c_000014234155	De Novo Assembled	156889	N/A	ICE	Firmicutes
adult_c_000009239288	De Novo Assembled	19013	N/A	Plasmid	Firmicutes
infant_c_000000125966	De Novo Assembled	33556	N/A	Plasmid	Firmicutes
adult_c_000009902672	De Novo Assembled	175108	N/A	ICE	Firmicutes
adult_c_000009905953	De Novo Assembled	9200	N/A	N/A	Firmicutes
infant_c_000000135388	De Novo Assembled	49775	N/A	Plasmid	Firmicutes
adult_c_000008895240	De Novo Assembled	24092	N/A	ICE	Bacteroidetes
adult_c_000006501244	De Novo Assembled	31120	N/A	ICE	Firmicutes
adult_c_000013661838	De Novo Assembled	43940	N/A	ICE	Bacteroidetes
adult_c_000002955701	De Novo Assembled	54082	N/A	ICE	Firmicutes
adult_c_000001082674	De Novo Assembled	27406	N/A	ICE	Firmicutes
adult_c_000002454751	De Novo Assembled	15279	N/A	ICE	NA
adult_c_000008895289	De Novo Assembled	23452	N/A	ICE	Firmicutes
adult_c_000002454416	De Novo Assembled	49692	N/A	ICE	Firmicutes
adult_c_000003513629	De Novo Assembled	30276	N/A	ICE	Actinobacteria
adult_c_000004735478	De Novo Assembled	10358	N/A	Plasmid	Firmicutes
adult_c_000010993568	De Novo Assembled	26581	N/A	ICE	Firmicutes
adult_c_000013455746	De Novo Assembled	10484	N/A	Plasmid	Firmicutes
adult_c_000001082172	De Novo Assembled	124710	N/A	ICE	Firmicutes
adult_c_000003211468	De Novo Assembled	68876	N/A	ICE	Bacteroidetes
adult_c_000001083087	De Novo Assembled	16545	N/A	ICE	Firmicutes
adult_c_000007050912	De Novo Assembled	23167	N/A	ICE	Bacteroidetes
infant_c_000000128685	De Novo Assembled	24007	N/A	Plasmid	Firmicutes
adult_c_000001699674	De Novo Assembled	12686	N/A	ICE	Firmicutes
adult_c_000010613012	De Novo Assembled	63409	N/A	ICE	Actinobacteria
adult_c_000008895151	De Novo Assembled	25207	N/A	ICE	Firmicutes
adult_c_000005117827	De Novo Assembled	23886	N/A	ICE	Bacteroidetes
adult_c_000002808113	De Novo Assembled	139972	N/A	ICE	Firmicutes
infant_c_000000122023	De Novo Assembled	64306	IncFII,IncFII	Plasmid	Proteobacteria
adult_c_000009797086	De Novo Assembled	6941	N/A	Plasmid	Firmicutes
infant_c_000000135416	De Novo Assembled	34465	IncN	Plasmid	Proteobacteria
adult_c_000000359312	De Novo Assembled	9138	N/A	Plasmid	Firmicutes
adult_c_000003798815	De Novo Assembled	24351	N/A	ICE	Bacteroidetes
adult_c_000012458990	De Novo Assembled	44258	N/A	ICE	Firmicutes
adult_c_000008893944	De Novo Assembled	65551	N/A	ICE	Firmicutes
adult_c_000012458901	De Novo Assembled	92984	N/A	ICE	Firmicutes
adult_c_000008175666	De Novo Assembled	20411	N/A	ICE	Bacteroidetes
adult_c_000001083021	De Novo Assembled	17602	N/A	ICE	Firmicutes
adult_c_000013662409	De Novo Assembled	27851	N/A	ICE	Firmicutes
infant_c_000000023497	De Novo Assembled	109183	N/A	ICE	NA
adult_c_000008176248	De Novo Assembled	11170	N/A	ICE	Bacteroidetes
adult_c_000009239399	De Novo Assembled	16689	N/A	ICE	Bacteroidetes
adult_c_000002957117	De Novo Assembled	18579	N/A	ICE	Firmicutes
adult_c_000014234156	De Novo Assembled	151741	N/A	ICE	Bacteroidetes
adult_c_000014234181	De Novo Assembled	100984	N/A	ICE	Firmicutes
adult_c_000009238951	De Novo Assembled	28644	N/A	ICE	Bacteroidetes
adult_c_000008893711	De Novo Assembled	92672	N/A	ICE	Bacteroidetes
adult_c_000002955301	De Novo Assembled	144197	N/A	ICE	Bacteroidetes
adult_c_000006007941	De Novo Assembled	17932	N/A	ICE	Firmicutes
infant_c_000000262355	De Novo Assembled	141698	N/A	ICE	Firmicutes
adult_c_000002013135	De Novo Assembled	12565	N/A	ICE	Bacteroidetes
adult_c_000002808107	De Novo Assembled	167082	N/A	ICE	Firmicutes
adult_c_000002012989	De Novo Assembled	29321	N/A	ICE	Bacteroidetes
adult_c_000014234297	De Novo Assembled	39017	N/A	ICE	Bacteroidetes
adult_c_000003513217	De Novo Assembled	65632	N/A	ICE	Bacteroidetes
infant_c_000000099932	De Novo Assembled	34649	N/A	Plasmid	Proteobacteria
adult_c_000010434937	De Novo Assembled	81995	N/A	ICE	Firmicutes
adult_c_000010840574	De Novo Assembled	120864	N/A	ICE	Firmicutes
adult_c_000008175049	De Novo Assembled	54704	N/A	ICE	Actinobacteria
adult_c_000014684369	De Novo Assembled	50193	N/A	ICE	Firmicutes
adult_c_000002956018	De Novo Assembled	37926	N/A	ICE	Bacteroidetes
adult_c_000002454576	De Novo Assembled	22599	N/A	ICE	Bacteroidetes
adult_c_000005639089	De Novo Assembled	37566	N/A	ICE	Bacteroidetes
infant_c_000000381620	De Novo Assembled	74815	N/A	ICE	Firmicutes
adult_c_000001082753	De Novo Assembled	24836	N/A	Plasmid	Firmicutes
adult_c_000010612878	De Novo Assembled	115717	N/A	ICE	Bacteroidetes
adult_c_000013454543	De Novo Assembled	24016	N/A	ICE	Firmicutes
adult_c_000004735154	De Novo Assembled	28396	N/A	ICE	Firmicutes
adult_c_000001699266	De Novo Assembled	15581	N/A	ICE	Firmicutes
adult_c_000013661185	De Novo Assembled	130772	N/A	ICE	Firmicutes
adult_c_000013094138	De Novo Assembled	297288	N/A	ICE	Firmicutes
adult_c_000004174691	De Novo Assembled	15470	N/A	ICE	Firmicutes
adult_c_000013661873	De Novo Assembled	42969	N/A	ICE	Firmicutes
adult_c_000009238592	De Novo Assembled	131124	N/A	ICE	Bacteroidetes
adult_c_000009796433	De Novo Assembled	169754	N/A	ICE	Firmicutes
adult_c_000000000329	De Novo Assembled	31978	N/A	ICE	Bacteroidetes
adult_c_000013661385	De Novo Assembled	77068	N/A	ICE	Firmicutes
infant_c_000000094061	De Novo Assembled	20239	N/A	N/A	Firmicutes
infant_c_000000304115	De Novo Assembled	26240	N/A	Plasmid	Proteobacteria
adult_c_000009239534	De Novo Assembled	14669	N/A	ICE	Firmicutes
infant_c_000000014380	De Novo Assembled	161217	rep_cluster_304	ICE	Proteobacteria
infant_c_000000414188	De Novo Assembled	54211	IncFII,IncFIIA	Plasmid	Proteobacteria
adult_c_000013454086	De Novo Assembled	74611	N/A	ICE	Firmicutes
adult_c_000002955876	De Novo Assembled	44035	N/A	ICE	Firmicutes
adult_c_000007050585	De Novo Assembled	165180	N/A	ICE	Bacteroidetes
adult_c_000002454588	De Novo Assembled	22063	N/A	Plasmid	Firmicutes
adult_c_000009238662	De Novo Assembled	71274	N/A	ICE	Firmicutes
infant_c_000000045570	De Novo Assembled	107995	N/A	ICE	NA
adult_c_000003211379	De Novo Assembled	185861	N/A	ICE	Bacteroidetes
adult_c_000009903506	De Novo Assembled	38356	N/A	ICE	Firmicutes
adult_c_000008893658	De Novo Assembled	105559	N/A	ICE	Firmicutes
adult_c_000003211643	De Novo Assembled	32289	N/A	ICE	Bacteroidetes
infant_c_000000350544	De Novo Assembled	101395	N/A	ICE	Firmicutes
adult_c_000001698238	De Novo Assembled	46983	N/A	ICE	Firmicutes
adult_c_000004174622	De Novo Assembled	32193	N/A	N/A	Firmicutes
adult_c_000002955253	De Novo Assembled	942574	N/A	ICE	Firmicutes
infant_c_000000179771	De Novo Assembled	29144	IncN	Plasmid	Proteobacteria
adult_c_000010613291	De Novo Assembled	32261	N/A	ICE	Bacteroidetes
adult_c_000001082153	De Novo Assembled	171495	N/A	ICE	Firmicutes
infant_c_000000023502	De Novo Assembled	66584	rep_cluster_398,IncP	Plasmid	Proteobacteria
adult_c_000002454345	De Novo Assembled	173864	N/A	ICE	Bacteroidetes
adult_c_000003211382	De Novo Assembled	168765	N/A	ICE	Bacteroidetes
adult_c_000001704041	De Novo Assembled	4786	N/A	Plasmid	Firmicutes
adult_c_000008894504	De Novo Assembled	39125	N/A	ICE	Firmicutes
infant_c_000000135456	De Novo Assembled	25807	N/A	ICE	Firmicutes
adult_c_000002205865	De Novo Assembled	16855	N/A	ICE	Firmicutes
adult_c_000009239549	De Novo Assembled	14447	N/A	ICE	Firmicutes
adult_c_000001082145	De Novo Assembled	207820	N/A	ICE	Firmicutes
infant_c_000000245907	De Novo Assembled	14359	N/A	Plasmid	NA
infant_c_000000381632	De Novo Assembled	57596	N/A	Plasmid	Proteobacteria
adult_c_000013094433	De Novo Assembled	29755	N/A	N/A	Firmicutes
adult_c_000013225982	De Novo Assembled	60337	N/A	ICE	Bacteroidetes
adult_c_000014234441	De Novo Assembled	22864	N/A	ICE	Bacteroidetes
adult_c_000008893979	De Novo Assembled	63029	N/A	ICE	Firmicutes
adult_c_000006501488	De Novo Assembled	15048	N/A	N/A	Bacteroidetes
adult_c_000005503414	De Novo Assembled	131634	N/A	ICE	Firmicutes
adult_c_000007629582	De Novo Assembled	27525	N/A	ICE	Firmicutes
adult_c_000002955819	De Novo Assembled	47210	N/A	ICE	Firmicutes
infant_c_000000205471	De Novo Assembled	53525	N/A	ICE	NA
adult_c_000008693386	De Novo Assembled	15393	N/A	ICE	Firmicutes
adult_c_000009903260	De Novo Assembled	49262	N/A	N/A	Firmicutes
adult_c_000003798789	De Novo Assembled	26456	N/A	ICE	Bacteroidetes
adult_c_000000000074	De Novo Assembled	72362	N/A	ICE	Firmicutes
infant_c_000000286907	De Novo Assembled	17517	N/A	Plasmid	Firmicutes
adult_c_000009239761	De Novo Assembled	12460	N/A	N/A	Firmicutes
adult_c_000004174578	De Novo Assembled	80313	N/A	ICE	Bacteroidetes
adult_c_000008894223	De Novo Assembled	49828	N/A	ICE	Firmicutes
adult_c_000009903210	De Novo Assembled	52753	N/A	ICE	Firmicutes
adult_c_000010612941	De Novo Assembled	83231	N/A	ICE	Bacteroidetes
adult_c_000013661766	De Novo Assembled	47674	N/A	ICE	Firmicutes
adult_c_000007629995	De Novo Assembled	15478	N/A	Plasmid	Firmicutes
infant_c_000000179786	De Novo Assembled	27381	N/A	Plasmid	Proteobacteria
adult_c_000003513463	De Novo Assembled	40178	N/A	ICE	Bacteroidetes
adult_c_000014234210	De Novo Assembled	68925	N/A	N/A	Firmicutes
adult_c_000009903212	De Novo Assembled	52550	N/A	ICE	Firmicutes
adult_c_000007869127	De Novo Assembled	86274	N/A	ICE	Bacteroidetes
adult_c_000013661423	De Novo Assembled	72635	N/A	N/A	Firmicutes
infant_c_000000443473	De Novo Assembled	24277	N/A	Plasmid	Firmicutes
infant_c_000000414439	De Novo Assembled	11927	N/A	Plasmid	Firmicutes
infant_c_000000174700	De Novo Assembled	138940	IncFII,IncFIIA	Plasmid	Proteobacteria
adult_c_000008174984	De Novo Assembled	66637	N/A	ICE	Bacteroidetes
adult_c_000008174892	De Novo Assembled	97068	N/A	ICE	Bacteroidetes
adult_c_000004174614	De Novo Assembled	40601	N/A	ICE	Bacteroidetes
adult_c_000003211523	De Novo Assembled	49769	N/A	ICE	Firmicutes
adult_c_000008174901	De Novo Assembled	90964	N/A	ICE	Actinobacteria
adult_c_000011259081	De Novo Assembled	30473	N/A	ICE	Firmicutes
adult_c_000001698339	De Novo Assembled	38321	N/A	ICE	Bacteroidetes
infant_c_000000205574	De Novo Assembled	23395	N/A	Plasmid	NA
adult_c_000014234709	De Novo Assembled	14234	N/A	Plasmid	Firmicutes
adult_c_000002454450	De Novo Assembled	37558	N/A	ICE	Firmicutes
infant_c_000000006864	De Novo Assembled	73148	N/A	ICE	NA
infant_c_000000443438	De Novo Assembled	92163	IncFII,IncFIB,IncFIIA	Plasmid	Proteobacteria
adult_c_000001082340	De Novo Assembled	53565	N/A	ICE	Actinobacteria
